Id,Price
4567,165310.16832767197
5925,123379.95417166322
960,138602.49139433334
3848,136163.38516288588
746,173514.47762667094
868,333442.5791240774
672,125792.52992928305
2471,213503.41516410856
4510,130703.41966970071
8354,231366.21598443895
6393,180074.88075381675
13270,239392.04184454866
5250,298668.02760046365
16751,195470.7526514845
11404,133908.54077655156
10588,309432.86016612285
14925,206735.50159128336
6791,220148.42705484625
16097,177024.010102203
16428,384430.23038636753
6945,356846.7365150323
3190,188476.66214664068
15709,413819.68657386856
13155,157700.0574419264
7675,196059.69710053696
14686,229274.62274855896
609,148317.21161862218
11155,185708.47544774655
10869,194551.0274919603
15742,188686.77896510446
9245,183925.06148552414
3340,174274.48163714912
2359,284011.75916849694
8070,231374.0132161149
13707,132831.18461536805
16079,317235.6275619669
15937,296257.1201837755
14090,181779.94350732665
9008,206258.29622011434
16384,156233.04984995638
11657,238146.6533925667
13151,151856.29700786763
8990,199720.16563701545
11857,186055.60310276176
1565,160655.18132729558
8174,106448.0687752837
9247,241916.44496623662
10478,221495.4364700804
15509,148612.4533804999
8306,299263.31261215376
6642,176837.6363855105
7472,210995.18425921604
15989,136179.87551952535
13682,127277.92929643866
163,236451.21871984043
7076,191943.9443535727
7478,288758.4881642279
3029,181254.23156392828
1814,142082.3819954025
10057,128832.41340163969
15100,192854.92831194244
12694,216057.50156815478
6291,198526.67627533505
12603,181042.00824121412
3218,253015.42117086123
13456,126285.46332456636
10170,225113.69105183848
4530,131570.8109949606
13329,162024.9679022696
4820,161367.46357522722
10896,170551.82656064982
13416,116936.20558043674
2701,225480.90726273402
11265,340738.9675656874
9189,263589.19126075716
1858,182575.15309261376
14536,237323.86343621276
6199,262719.23966689524
14730,151074.0949892139
7510,249208.36225255797
15505,158838.4003792081
7446,177261.56618192093
14016,172709.62692334224
14113,111747.42255835382
8721,244621.1278136901
6193,317453.55828701064
5717,180278.41039175622
5427,300764.88326849655
9520,469434.48075772886
6869,98621.72713070938
1658,157526.15189670285
6639,191489.6129872822
6283,185903.03763824012
6257,131705.63025495215
15235,172041.61108140755
902,257624.92918376482
8932,203187.27247384182
16469,308452.81225712434
2825,290537.69220149104
6450,444569.35105688777
11366,183255.83517983882
3801,370235.5856732144
11385,199465.47924206755
1079,204736.07644839626
3202,236603.16756577534
676,235705.3539248253
6185,278888.6005860566
7730,160607.3999052762
2573,183362.81532484255
10978,204634.83228599787
10962,248611.35295761056
8870,180837.4242258266
8496,176964.42581062575
5517,176121.6501700729
927,181999.87847609844
13675,210993.9055860108
1499,218520.1355832048
15536,319209.6534243673
8602,383628.6038036405
12137,438417.62345271494
9865,236678.8095865559
16353,281206.75798532506
15908,214914.0635474995
3944,180868.7184677132
10359,207152.01052829655
15158,220459.2411142721
3259,233934.07881245913
7220,328306.75807566463
13843,197426.86905892735
16736,178498.36942839954
702,255479.29452964023
16401,185174.9664360005
12134,199657.3725847489
6918,238961.35107691336
11792,129505.71161471853
